0, 0:0:0.000000
1, 0:0:0.100000
2, 0:0:0.200000
3, 0:0:0.300000
4, 0:0:0.400000
5, 0:0:0.500000
6, 0:0:0.600000
7, 0:0:0.700000
8, 0:0:0.800000
9, 0:0:0.900000
10, 0:0:1.000000
11, 0:0:1.100000
12, 0:0:1.200000
13, 0:0:1.300000
14, 0:0:1.400000
15, 0:0:1.500000
16, 0:0:1.600000
17, 0:0:1.700000
18, 0:0:1.800000
19, 0:0:1.900000
20, 0:0:2.000000
21, 0:0:2.100000
22, 0:0:2.200000
23, 0:0:2.300000
24, 0:0:2.400000
25, 0:0:2.500000
26, 0:0:2.600000
27, 0:0:2.700000
28, 0:0:2.800000
29, 0:0:2.900000
30, 0:0:3.000000
31, 0:0:3.100000
32, 0:0:3.200000
33, 0:0:3.300000
34, 0:0:3.400000
35, 0:0:3.500000
36, 0:0:3.600000
37, 0:0:3.700000
38, 0:0:3.800000
39, 0:0:3.900000
40, 0:0:4.000000
41, 0:0:4.100000
42, 0:0:4.200000
43, 0:0:4.300000
44, 0:0:4.400000
45, 0:0:4.500000
46, 0:0:4.600000
47, 0:0:4.700000
48, 0:0:4.800000
49, 0:0:4.900000
50, 0:0:5.000000
51, 0:0:5.100000
52, 0:0:5.200000
53, 0:0:5.300000
54, 0:0:5.400000
55, 0:0:5.500000
56, 0:0:5.600000
57, 0:0:5.700000
58, 0:0:5.800000
59, 0:0:5.900000
60, 0:0:6.000000
61, 0:0:6.100000
62, 0:0:6.200000
63, 0:0:6.300000
64, 0:0:6.400000
65, 0:0:6.500000
66, 0:0:6.600000
67, 0:0:6.700000
68, 0:0:6.800000
69, 0:0:6.900000
70, 0:0:7.000000
71, 0:0:7.100000
72, 0:0:7.200000
73, 0:0:7.300000
74, 0:0:7.400000
75, 0:0:7.500000
76, 0:0:7.600000
77, 0:0:7.700000
78, 0:0:7.800000
79, 0:0:7.900000
80, 0:0:8.000000
81, 0:0:8.100000
82, 0:0:8.200000
83, 0:0:8.300000
84, 0:0:8.400000
85, 0:0:8.500000
86, 0:0:8.600000
87, 0:0:8.700000
88, 0:0:8.800000
89, 0:0:8.900000
90, 0:0:9.000000
91, 0:0:9.100000
92, 0:0:9.200000
93, 0:0:9.300000
94, 0:0:9.400000
95, 0:0:9.500000
96, 0:0:9.600000
97, 0:0:9.700000
98, 0:0:9.800000
99, 0:0:9.900000
100, 0:0:10.000000
101, 0:0:10.100000
102, 0:0:10.200000
103, 0:0:10.300000
104, 0:0:10.400000
105, 0:0:10.500000
106, 0:0:10.600000
107, 0:0:10.700000
108, 0:0:10.800000
109, 0:0:10.900000
110, 0:0:11.000000
111, 0:0:11.100000
112, 0:0:11.200000
113, 0:0:11.300000
114, 0:0:11.400000
115, 0:0:11.500000
116, 0:0:11.600000
117, 0:0:11.700000
118, 0:0:11.800000
119, 0:0:11.900000
120, 0:0:12.000000
121, 0:0:12.100000
122, 0:0:12.200000
123, 0:0:12.300000
124, 0:0:12.400000
125, 0:0:12.500000
126, 0:0:12.600000
127, 0:0:12.700000
128, 0:0:12.800000
129, 0:0:12.900000
130, 0:0:13.000000
131, 0:0:13.100000
132, 0:0:13.200000
133, 0:0:13.300000
134, 0:0:13.400000
135, 0:0:13.500000
136, 0:0:13.600000
137, 0:0:13.700000
138, 0:0:13.800000
139, 0:0:13.900000
140, 0:0:14.000000
141, 0:0:14.100000
142, 0:0:14.200000
143, 0:0:14.300000
144, 0:0:14.400000
145, 0:0:14.500000
146, 0:0:14.600000
147, 0:0:14.700000
148, 0:0:14.800000
149, 0:0:14.900000
150, 0:0:15.000000
151, 0:0:15.100000
152, 0:0:15.200000
153, 0:0:15.300000
154, 0:0:15.400000
155, 0:0:15.500000
156, 0:0:15.600000
157, 0:0:15.700000
158, 0:0:15.800000
159, 0:0:15.900000
160, 0:0:16.000000
161, 0:0:16.100000
162, 0:0:16.200000
163, 0:0:16.300000
164, 0:0:16.400000
165, 0:0:16.500000
166, 0:0:16.600000
167, 0:0:16.700000
168, 0:0:16.800000
169, 0:0:16.900000
170, 0:0:17.000000
171, 0:0:17.100000
172, 0:0:17.200000
173, 0:0:17.300000
174, 0:0:17.400000
175, 0:0:17.500000
176, 0:0:17.600000
177, 0:0:17.700000
178, 0:0:17.800000
179, 0:0:17.900000
180, 0:0:18.000000
181, 0:0:18.100000
182, 0:0:18.200000
183, 0:0:18.300000
184, 0:0:18.400000
185, 0:0:18.500000
186, 0:0:18.600000
187, 0:0:18.700000
188, 0:0:18.800000
189, 0:0:18.900000
190, 0:0:19.000000
191, 0:0:19.100000
192, 0:0:19.200000
193, 0:0:19.300000
194, 0:0:19.400000
195, 0:0:19.500000
196, 0:0:19.600000
197, 0:0:19.700000
198, 0:0:19.800000
199, 0:0:19.900000
200, 0:0:20.000000
201, 0:0:20.100000
202, 0:0:20.200000
203, 0:0:20.300000
204, 0:0:20.400000
205, 0:0:20.500000
206, 0:0:20.600000
207, 0:0:20.700000
208, 0:0:20.800000
209, 0:0:20.900000
210, 0:0:21.000000
211, 0:0:21.100000
212, 0:0:21.200000
213, 0:0:21.300000
214, 0:0:21.400000
215, 0:0:21.500000
216, 0:0:21.600000
217, 0:0:21.700000
218, 0:0:21.800000
219, 0:0:21.900000
220, 0:0:22.000000
221, 0:0:22.100000
222, 0:0:22.200000
223, 0:0:22.300000
224, 0:0:22.400000
225, 0:0:22.500000
226, 0:0:22.600000
227, 0:0:22.700000
228, 0:0:22.800000
229, 0:0:22.900000
230, 0:0:23.000000
231, 0:0:23.100000
232, 0:0:23.200000
233, 0:0:23.300000
234, 0:0:23.400000
235, 0:0:23.500000
236, 0:0:23.600000
237, 0:0:23.700000
238, 0:0:23.800000
239, 0:0:23.900000
240, 0:0:24.000000
241, 0:0:24.100000
242, 0:0:24.200000
243, 0:0:24.300000
244, 0:0:24.400000
245, 0:0:24.500000
246, 0:0:24.600000
247, 0:0:24.700000
248, 0:0:24.800000
249, 0:0:24.900000
250, 0:0:25.000000
251, 0:0:25.100000
252, 0:0:25.200000
253, 0:0:25.300000
254, 0:0:25.400000
255, 0:0:25.500000
256, 0:0:25.600000
257, 0:0:25.700000
258, 0:0:25.800000
259, 0:0:25.900000
260, 0:0:26.000000
261, 0:0:26.100000
262, 0:0:26.200000
263, 0:0:26.300000
264, 0:0:26.400000
265, 0:0:26.500000
266, 0:0:26.600000
267, 0:0:26.700000
268, 0:0:26.800000
269, 0:0:26.900000
270, 0:0:27.000000
271, 0:0:27.100000
272, 0:0:27.200000
273, 0:0:27.300000
274, 0:0:27.400000
275, 0:0:27.500000
276, 0:0:27.600000
277, 0:0:27.700000
278, 0:0:27.800000
279, 0:0:27.900000
280, 0:0:28.000000
281, 0:0:28.100000
282, 0:0:28.200000
283, 0:0:28.300000
284, 0:0:28.400000
285, 0:0:28.500000
286, 0:0:28.600000
287, 0:0:28.700000
288, 0:0:28.800000
289, 0:0:28.900000
290, 0:0:29.000000
291, 0:0:29.100000
292, 0:0:29.200000
293, 0:0:29.300000
294, 0:0:29.400000
295, 0:0:29.500000
296, 0:0:29.600000
297, 0:0:29.700000
298, 0:0:29.800000
299, 0:0:29.900000
300, 0:0:30.000000
301, 0:0:30.100000
302, 0:0:30.200000
303, 0:0:30.300000
304, 0:0:30.400000
305, 0:0:30.500000
306, 0:0:30.600000
307, 0:0:30.700000
308, 0:0:30.800000
309, 0:0:30.900000
310, 0:0:31.000000
311, 0:0:31.100000
312, 0:0:31.200000
313, 0:0:31.300000
314, 0:0:31.400000
315, 0:0:31.500000
316, 0:0:31.600000
317, 0:0:31.700000
318, 0:0:31.800000
319, 0:0:31.900000
320, 0:0:32.000000
321, 0:0:32.100000
322, 0:0:32.200000
323, 0:0:32.300000
324, 0:0:32.400000
325, 0:0:32.500000
326, 0:0:32.600000
327, 0:0:32.700000
328, 0:0:32.800000
329, 0:0:32.900000
330, 0:0:33.000000
331, 0:0:33.100000
332, 0:0:33.200000
333, 0:0:33.300000
334, 0:0:33.400000
335, 0:0:33.500000
336, 0:0:33.600000
337, 0:0:33.700000
338, 0:0:33.800000
339, 0:0:33.900000
340, 0:0:34.000000
341, 0:0:34.100000
342, 0:0:34.200000
343, 0:0:34.300000
344, 0:0:34.400000
345, 0:0:34.500000
346, 0:0:34.600000
347, 0:0:34.700000
348, 0:0:34.800000
349, 0:0:34.900000
350, 0:0:35.000000
351, 0:0:35.100000
352, 0:0:35.200000
353, 0:0:35.300000
354, 0:0:35.400000
355, 0:0:35.500000
356, 0:0:35.600000
357, 0:0:35.700000
358, 0:0:35.800000
359, 0:0:35.900000
360, 0:0:36.000000
361, 0:0:36.100000
362, 0:0:36.200000
363, 0:0:36.300000
364, 0:0:36.400000
365, 0:0:36.500000
366, 0:0:36.600000
367, 0:0:36.700000
368, 0:0:36.800000
369, 0:0:36.900000
